vv,vh,dem,pwater,label,water_percent
data\chips\VV\000_00.tif,data\chips\VH\000_00.tif,data\dem\000_00.tif,data\pwater\000_00.tif,data\labels\000_00.tif,0.0
data\chips\VV\000_01.tif,data\chips\VH\000_01.tif,data\dem\000_01.tif,data\pwater\000_01.tif,data\labels\000_01.tif,0.0
data\chips\VV\000_10.tif,data\chips\VH\000_10.tif,data\dem\000_10.tif,data\pwater\000_10.tif,data\labels\000_10.tif,0.0
data\chips\VV\000_11.tif,data\chips\VH\000_11.tif,data\dem\000_11.tif,data\pwater\000_11.tif,data\labels\000_11.tif,0.0
data\chips\VV\001_00.tif,data\chips\VH\001_00.tif,data\dem\001_00.tif,data\pwater\001_00.tif,data\labels\001_00.tif,0.79498291015625
data\chips\VV\001_01.tif,data\chips\VH\001_01.tif,data\dem\001_01.tif,data\pwater\001_01.tif,data\labels\001_01.tif,1.141357421875
data\chips\VV\001_10.tif,data\chips\VH\001_10.tif,data\dem\001_10.tif,data\pwater\001_10.tif,data\labels\001_10.tif,0.0
data\chips\VV\001_11.tif,data\chips\VH\001_11.tif,data\dem\001_11.tif,data\pwater\001_11.tif,data\labels\001_11.tif,0.0
data\chips\VV\002_00.tif,data\chips\VH\002_00.tif,data\dem\002_00.tif,data\pwater\002_00.tif,data\labels\002_00.tif,12.506103515625
data\chips\VV\002_01.tif,data\chips\VH\002_01.tif,data\dem\002_01.tif,data\pwater\002_01.tif,data\labels\002_01.tif,25.24566650390625
data\chips\VV\002_10.tif,data\chips\VH\002_10.tif,data\dem\002_10.tif,data\pwater\002_10.tif,data\labels\002_10.tif,24.26300048828125
data\chips\VV\002_11.tif,data\chips\VH\002_11.tif,data\dem\002_11.tif,data\pwater\002_11.tif,data\labels\002_11.tif,13.49029541015625
data\chips\VV\003_00.tif,data\chips\VH\003_00.tif,data\dem\003_00.tif,data\pwater\003_00.tif,data\labels\003_00.tif,3.73382568359375
data\chips\VV\003_01.tif,data\chips\VH\003_01.tif,data\dem\003_01.tif,data\pwater\003_01.tif,data\labels\003_01.tif,19.45953369140625
data\chips\VV\003_10.tif,data\chips\VH\003_10.tif,data\dem\003_10.tif,data\pwater\003_10.tif,data\labels\003_10.tif,38.2110595703125
data\chips\VV\003_11.tif,data\chips\VH\003_11.tif,data\dem\003_11.tif,data\pwater\003_11.tif,data\labels\003_11.tif,80.517578125
data\chips\VV\004_00.tif,data\chips\VH\004_00.tif,data\dem\004_00.tif,data\pwater\004_00.tif,data\labels\004_00.tif,0.0
data\chips\VV\004_01.tif,data\chips\VH\004_01.tif,data\dem\004_01.tif,data\pwater\004_01.tif,data\labels\004_01.tif,0.0
data\chips\VV\004_10.tif,data\chips\VH\004_10.tif,data\dem\004_10.tif,data\pwater\004_10.tif,data\labels\004_10.tif,0.0
data\chips\VV\004_11.tif,data\chips\VH\004_11.tif,data\dem\004_11.tif,data\pwater\004_11.tif,data\labels\004_11.tif,0.0
data\chips\VV\005_00.tif,data\chips\VH\005_00.tif,data\dem\005_00.tif,data\pwater\005_00.tif,data\labels\005_00.tif,51.275634765625
data\chips\VV\005_01.tif,data\chips\VH\005_01.tif,data\dem\005_01.tif,data\pwater\005_01.tif,data\labels\005_01.tif,49.21112060546875
data\chips\VV\005_10.tif,data\chips\VH\005_10.tif,data\dem\005_10.tif,data\pwater\005_10.tif,data\labels\005_10.tif,61.3250732421875
data\chips\VV\005_11.tif,data\chips\VH\005_11.tif,data\dem\005_11.tif,data\pwater\005_11.tif,data\labels\005_11.tif,24.79095458984375
data\chips\VV\006_00.tif,data\chips\VH\006_00.tif,data\dem\006_00.tif,data\pwater\006_00.tif,data\labels\006_00.tif,17.657470703125
data\chips\VV\006_01.tif,data\chips\VH\006_01.tif,data\dem\006_01.tif,data\pwater\006_01.tif,data\labels\006_01.tif,16.485595703125
data\chips\VV\006_10.tif,data\chips\VH\006_10.tif,data\dem\006_10.tif,data\pwater\006_10.tif,data\labels\006_10.tif,16.8853759765625
data\chips\VV\006_11.tif,data\chips\VH\006_11.tif,data\dem\006_11.tif,data\pwater\006_11.tif,data\labels\006_11.tif,14.7247314453125
data\chips\VV\007_00.tif,data\chips\VH\007_00.tif,data\dem\007_00.tif,data\pwater\007_00.tif,data\labels\007_00.tif,0.0
data\chips\VV\007_01.tif,data\chips\VH\007_01.tif,data\dem\007_01.tif,data\pwater\007_01.tif,data\labels\007_01.tif,0.0
data\chips\VV\007_10.tif,data\chips\VH\007_10.tif,data\dem\007_10.tif,data\pwater\007_10.tif,data\labels\007_10.tif,0.0
data\chips\VV\007_11.tif,data\chips\VH\007_11.tif,data\dem\007_11.tif,data\pwater\007_11.tif,data\labels\007_11.tif,0.0
data\chips\VV\008_00.tif,data\chips\VH\008_00.tif,data\dem\008_00.tif,data\pwater\008_00.tif,data\labels\008_00.tif,2.2064208984375
data\chips\VV\008_01.tif,data\chips\VH\008_01.tif,data\dem\008_01.tif,data\pwater\008_01.tif,data\labels\008_01.tif,20.1904296875
data\chips\VV\008_10.tif,data\chips\VH\008_10.tif,data\dem\008_10.tif,data\pwater\008_10.tif,data\labels\008_10.tif,4.5196533203125
data\chips\VV\008_11.tif,data\chips\VH\008_11.tif,data\dem\008_11.tif,data\pwater\008_11.tif,data\labels\008_11.tif,19.7540283203125
data\chips\VV\009_00.tif,data\chips\VH\009_00.tif,data\dem\009_00.tif,data\pwater\009_00.tif,data\labels\009_00.tif,11.62109375
data\chips\VV\009_01.tif,data\chips\VH\009_01.tif,data\dem\009_01.tif,data\pwater\009_01.tif,data\labels\009_01.tif,6.91070556640625
data\chips\VV\009_10.tif,data\chips\VH\009_10.tif,data\dem\009_10.tif,data\pwater\009_10.tif,data\labels\009_10.tif,4.8980712890625
data\chips\VV\009_11.tif,data\chips\VH\009_11.tif,data\dem\009_11.tif,data\pwater\009_11.tif,data\labels\009_11.tif,5.52215576171875
